include,category,phenotype,gene,name_short,citation,chr_in_literature,v4_coord,ensembl.org_id,ensemble.org_description,source_v4_coord,admixture_prediction,other_notes
FALSE,incompatibility,pollen incompatibility,teosinte crossing barrier1,tcb1,Lu et al. 2020,4,,,,,low introgression maize + variable by mexicana pop,"""Tcb1-m distal to Tcb1-f on the short arm of chromosome 4 and both factors located between markers mmc0471 and bnlg490"" - Lu 2014 https://link.springer.com/article/10.1007/s00497-013-0236-5 ""The Tcb1 genes; therefore; are likely absent from the maize genome."" but the locus is within a 480kb region on the short arm of chr4. And tcb1-f is identified as a PME38 homolog that is absent from the B73 assembled reference genome - Lu et al 2019  https://www.nature.com/articles/s41467-019-10259-0"
TRUE,high elevation,higher fitness at high elevation and early flowering time (mexicana allele) ,PhosphatidylCholine 1,HPC1,Rodriguez-Zapata et al 2021 (bioRxiv),3,3:7735746-7737263,Zm00001d039542,Phospholipase A1-Igamma1 chloroplastic,https://plants.ensembl.org/Zea_mays/Info/Index,increasing mexicana with elevation in maize + mexicana,
TRUE,domestication,increased sugar transport and seed size,SWEET4 hexose transporter,sweet4c,Sosso et al 2015,5,5:130787030-130789864,Zm00001d015912,sugars will eventually be exported transporter4c,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,candidate gene approach (sugar transport) + pop gen signals + association panel 282 inbreds + mutant phenotypes. Functional follow-up still needed.
TRUE,flowering time,photoperiod sensitivity -- flowering time higher latitudes,ZmCCT,ZmCCT10, Yang 2013,1NA,10:94430850-94433495,Zm00001d024909,CO CO-LIKE TIMING OF CAB1 protein domain1,https://plants.ensembl.org/Zea_mays/Info/Index,increasing mexicana with elevation in maize + mexicana (OR just high mexicana ancestry throughout),TE insertion on chr10 2.5kb upstream of ZmCCT has signature of sweep; and is causally associated with flowering time phenotype; despite diversity at ZmCCT itself. hypothesized to be introgressed from mexicana (only teosinte with candidate functional TE insertion). gene ~ 94.3Mb on chr 10  based on FigS2 - Yang 2013. 
FALSE,colors,regulates kernel pigment (purple),,c1,Hanson et al 1996,NA,,,,,,not as strong of evidence; non-sig HKA and no hard sweep; just type I haplotypes favored in maize ..also may not be all maize (purple/red/pink anthocyanin kernels only?)
FALSE,colors,selection yellow endosperm,,y1,Palaisa 2003,NA,,,,,,exclude -- not all maize; just yellow maize 
FALSE,domestication,tassel,,,Tenaillon et al 2004,NA,,,,,,exclude - only found based on chr1 tajima's D scan
FALSE,domestication,seed2,,,Tenaillon et al 2004,NA,,,,,,exclude - only found based on chr1 tajima's D scan
FALSE,domestication,dwarf8,,,Tenaillon et al 2004,NA,,,,,,exclude - only found based on chr1 tajima's D scan
FALSE,flowering time,photoperiod sensitivity -- flowering time higher latitudes,GRMZM2G004483,ZmCCT9,Huang et al 2018. te insertion after domestication & selected for higher lats. Yang 2013 also cite,9,,,,,,qDTA9 is a harbinger-like transposon 57kb upstream and represses ZmCCT9 on AGPv2 (which promotes flowering under longer daylength at higher latitudes); qDTA9 is fine mapped to 2.5kb between markers M115705 and M115707.  Fig 1G places the gene around 115Mb on v2 chr9.- Huang 2018. ZmCCT9 appears to maybe be on an unaccembled contig in maize ref v4 (?) https://plants.ensembl.org/Zea_mays/Search/Results?species=Zea_mays;idx=;q=GRMZM2G004483;site=ensemblthis
FALSE,flowering time,flowering repressor,,ZmRap2.7,Salvi 2007. Ap2-like transcription factor downstream of a major flowering-time QTL (vgt1),NA,,,,,,
FALSE,flowering time,florigen gene (expression = flowering). Repressed by ZmRap2.7,ZEA CENTRORADIALIS 8Ê,ZCN8,Guo et al 2018. early flowering time selected during maize domestication,NA,8:126880531-126882389,Zm00001d010752,phosphatidylethanolamine-binding protein8,https://plants.ensembl.org/Zea_mays/Info/Index,,
FALSE,flowering time,regulates ZmRap2.7 and ZCN8,,ZmMADS69,"Liang et al 2018 ""Maize ZmMADS69 allele is expressed at a higher level at floral transition and confers earlier flowering than the teosinte allele under long days and short days."" Evidence of selection from pop gen analysis (low diversity in maize; esp. around promoter).",NA,,,,,,
FALSE,unknown,unknown,,Zmprr37,,NA,,Zm00001d022590,,,,exclude? Not a clear phenotype like the others. But sig. of seletion form mexicana across modern maize; at 70% freq (Ning unpublished)
FALSE,drive,drive,centromeric drive knob,ab10,,NA,,,,,,
FALSE,domestication,teosinte-like tillering retention in sweet corn and popcorn,,tin1,Zhang et al 2019,7,,,,,,not clear what to expect/hypothesize in relation to admixture. Also localized to a 3.9kb QTL but not gene level
